"Country","Indicator","Measure","Inequality","Unit","PowerCode","Reference Period","Value","Flags"
"Denmark","Educational attainment","Value","Women","Percentage","Units",,83,
"Finland","Educational attainment","Value","Women","Percentage","Units",,94,
"France","Educational attainment","Value","Women","Percentage","Units",,82,
"Germany","Educational attainment","Value","Women","Percentage","Units",,86,
"Greece","Educational attainment","Value","Women","Percentage","Units",,78,
"Hungary","Educational attainment","Value","Women","Percentage","Units",,84,
"Iceland","Educational attainment","Value","Women","Percentage","Units",,78,
"Ireland","Educational attainment","Value","Women","Percentage","Units",,88,
"Italy","Educational attainment","Value","Women","Percentage","Units",,65,
"Korea","Educational attainment","Value","Women","Percentage","Units",,87,
"Luxembourg","Educational attainment","Value","Women","Percentage","Units",,74,
"Mexico","Educational attainment","Value","Women","Percentage","Units",,41,
"Netherlands","Educational attainment","Value","Women","Percentage","Units",,81,
"New Zealand","Educational attainment","Value","Women","Percentage","Units",,82,
"Norway","Educational attainment","Value","Women","Percentage","Units",,83,
"Poland","Educational attainment","Value","Women","Percentage","Units",,94,
"Portugal","Educational attainment","Value","Women","Percentage","Units",,59,
"Slovak Republic","Educational attainment","Value","Women","Percentage","Units",,92,
"Spain","Educational attainment","Value","Women","Percentage","Units",,66,
"Sweden","Educational attainment","Value","Women","Percentage","Units",,85,
"Switzerland","Educational attainment","Value","Women","Percentage","Units",,88,
"Türkiye","Educational attainment","Value","Women","Percentage","Units",,38,
"United Kingdom","Educational attainment","Value","Women","Percentage","Units",,83,
"United States","Educational attainment","Value","Women","Percentage","Units",,92,
"Brazil","Educational attainment","Value","Women","Percentage","Units",,60,
"Chile","Educational attainment","Value","Women","Percentage","Units",,68,
"Estonia","Educational attainment","Value","Women","Percentage","Units",,94,
"Israel","Educational attainment","Value","Women","Percentage","Units",,89,
"Latvia","Educational attainment","Value","Women","Percentage","Units",,93,
"Russia","Educational attainment","Value","Women","Percentage","Units",,96,
"Slovenia","Educational attainment","Value","Women","Percentage","Units",,89,
"South Africa","Educational attainment","Value","Women","Percentage","Units",,48,
"OECD - Total","Educational attainment","Value","Women","Percentage","Units",,80,
"Australia","Student skills","Value","Total","Average score","Units",,499,
"Austria","Student skills","Value","Total","Average score","Units",,491,
"Belgium","Student skills","Value","Total","Average score","Units",,500,
"Canada","Student skills","Value","Total","Average score","Units",,517,
"Czech Republic","Student skills","Value","Total","Average score","Units",,495,
"Denmark","Student skills","Value","Total","Average score","Units",,501,
"Finland","Student skills","Value","Total","Average score","Units",,516,
"France","Student skills","Value","Total","Average score","Units",,494,
"Germany","Student skills","Value","Total","Average score","Units",,500,
"Greece","Student skills","Value","Total","Average score","Units",,453,
"Hungary","Student skills","Value","Total","Average score","Units",,479,
"Iceland","Student skills","Value","Total","Average score","Units",,481,
"Ireland","Student skills","Value","Total","Average score","Units",,505,
"Italy","Student skills","Value","Total","Average score","Units",,477,
"Japan","Student skills","Value","Total","Average score","Units",,520,
"Korea","Student skills","Value","Total","Average score","Units",,520,
"Luxembourg","Student skills","Value","Total","Average score","Units",,477,
"Mexico","Student skills","Value","Total","Average score","Units",,416,
"Netherlands","Student skills","Value","Total","Average score","Units",,502,
"New Zealand","Student skills","Value","Total","Average score","Units",,503,
"Norway","Student skills","Value","Total","Average score","Units",,497,
"Poland","Student skills","Value","Total","Average score","Units",,513,
"Portugal","Student skills","Value","Total","Average score","Units",,492,
"Slovak Republic","Student skills","Value","Total","Average score","Units",,469,
"Sweden","Student skills","Value","Total","Average score","Units",,503,
"Switzerland","Student skills","Value","Total","Average score","Units",,498,
"Türkiye","Student skills","Value","Total","Average score","Units",,462,
"United Kingdom","Student skills","Value","Total","Average score","Units",,503,
"United States","Student skills","Value","Total","Average score","Units",,495,
"Brazil","Student skills","Value","Total","Average score","Units",,400,
"Chile","Student skills","Value","Total","Average score","Units",,438,
"Estonia","Student skills","Value","Total","Average score","Units",,526,
"Israel","Student skills","Value","Total","Average score","Units",,465,
"Latvia","Student skills","Value","Total","Average score","Units",,487,
"Russia","Student skills","Value","Total","Average score","Units",,481,
"Slovenia","Student skills","Value","Total","Average score","Units",,504,
"OECD - Total","Student skills","Value","Total","Average score","Units",,488,
"Australia","Student skills","Value","Men","Average score","Units",,495,
"Austria","Student skills","Value","Men","Average score","Units",,489,
"Belgium","Student skills","Value","Men","Average score","Units",,499,
"Canada","Student skills","Value","Men","Average score","Units",,512,
"Czech Republic","Student skills","Value","Men","Average score","Units",,490,
"Denmark","Student skills","Value","Men","Average score","Units",,496,
"Finland","Student skills","Value","Men","Average score","Units",,503,
"France","Student skills","Value","Men","Average score","Units",,490,
"Germany","Student skills","Value","Men","Average score","Units",,497,
"Greece","Student skills","Value","Men","Average score","Units",,445,
"Hungary","Student skills","Value","Men","Average score","Units",,477,
"Iceland","Student skills","Value","Men","Average score","Units",,472,
"Ireland","Student skills","Value","Men","Average score","Units",,501,
"Italy","Student skills","Value","Men","Average score","Units",,476,
"Japan","Student skills","Value","Men","Average score","Units",,519,
"Korea","Student skills","Value","Men","Average score","Units",,517,
"Luxembourg","Student skills","Value","Men","Average score","Units",,472,
"Mexico","Student skills","Value","Men","Average score","Units",,418,
"Netherlands","Student skills","Value","Men","Average score","Units",,497,
"New Zealand","Student skills","Value","Men","Average score","Units",,500,
"Norway","Student skills","Value","Men","Average score","Units",,486,
"Poland","Student skills","Value","Men","Average score","Units",,508,
"Portugal","Student skills","Value","Men","Average score","Units",,490,
"Slovak Republic","Student skills","Value","Men","Average score","Units",,463,
"Sweden","Student skills","Value","Men","Average score","Units",,495,
"Switzerland","Student skills","Value","Men","Average score","Units",,494,
"Türkiye","Student skills","Value","Men","Average score","Units",,458,
"United Kingdom","Student skills","Value","Men","Average score","Units",,503,
"United States","Student skills","Value","Men","Average score","Units",,493,
"Brazil","Student skills","Value","Men","Average score","Units",,397,
"Chile","Student skills","Value","Men","Average score","Units",,436,
"Estonia","Student skills","Value","Men","Average score","Units",,521,
"Israel","Student skills","Value","Men","Average score","Units",,452,
"Latvia","Student skills","Value","Men","Average score","Units",,482,
"Russia","Student skills","Value","Men","Average score","Units",,478,
"Slovenia","Student skills","Value","Men","Average score","Units",,495,
"OECD - Total","Student skills","Value","Men","Average score","Units",,485,
"Australia","Student skills","Value","Women","Average score","Units",,503,
"Austria","Student skills","Value","Women","Average score","Units",,493,
"Belgium","Student skills","Value","Women","Average score","Units",,501,
"Canada","Student skills","Value","Women","Average score","Units",,521,
"Czech Republic","Student skills","Value","Women","Average score","Units",,501,
"Denmark","Student skills","Value","Women","Average score","Units",,506,
"Finland","Student skills","Value","Women","Average score","Units",,530,
"France","Student skills","Value","Women","Average score","Units",,497,
"Germany","Student skills","Value","Women","Average score","Units",,504,
"Greece","Student skills","Value","Women","Average score","Units",,462,
"Hungary","Student skills","Value","Women","Average score","Units",,481,
"Iceland","Student skills","Value","Women","Average score","Units",,491,
"Ireland","Student skills","Value","Women","Average score","Units",,508,
"Italy","Student skills","Value","Women","Average score","Units",,478,
"Japan","Student skills","Value","Women","Average score","Units",,521,
"Korea","Student skills","Value","Women","Average score","Units",,522,
"Luxembourg","Student skills","Value","Women","Average score","Units",,481,
"Mexico","Student skills","Value","Women","Average score","Units",,415,
"Netherlands","Student skills","Value","Women","Average score","Units",,508,
"New Zealand","Student skills","Value","Women","Average score","Units",,506,
"Norway","Student skills","Value","Women","Average score","Units",,508,
"Poland","Student skills","Value","Women","Average score","Units",,518,
"Portugal","Student skills","Value","Women","Average score","Units",,494,
"Slovak Republic","Student skills","Value","Women","Average score","Units",,475,
"Sweden","Student skills","Value","Women","Average score","Units",,510,
"Switzerland","Student skills","Value","Women","Average score","Units",,502,
"Türkiye","Student skills","Value","Women","Average score","Units",,467,
"United Kingdom","Student skills","Value","Women","Average score","Units",,504,
"United States","Student skills","Value","Women","Average score","Units",,498,
"Brazil","Student skills","Value","Women","Average score","Units",,403,
"Chile","Student skills","Value","Women","Average score","Units",,439,
"Estonia","Student skills","Value","Women","Average score","Units",,530,
"Israel","Student skills","Value","Women","Average score","Units",,477,
"Latvia","Student skills","Value","Women","Average score","Units",,493,
"Russia","Student skills","Value","Women","Average score","Units",,485,
"Slovenia","Student skills","Value","Women","Average score","Units",,512,
"OECD - Total","Student skills","Value","Women","Average score","Units",,491,
"Australia","Years in education","Value","Total","Years","Units",,20,
"Austria","Years in education","Value","Total","Years","Units",,17,
"Belgium","Years in education","Value","Total","Years","Units",,19,
"Canada","Years in education","Value","Total","Years","Units",,17,
"Czech Republic","Years in education","Value","Total","Years","Units",,18,
"Denmark","Years in education","Value","Total","Years","Units",,19,
"Finland","Years in education","Value","Total","Years","Units",,20,
"France","Years in education","Value","Total","Years","Units",,17,
"Germany","Years in education","Value","Total","Years","Units",,18,
"Greece","Years in education","Value","Total","Years","Units",,19,
"Hungary","Years in education","Value","Total","Years","Units",,16,
"Iceland","Years in education","Value","Total","Years","Units",,19,
"Ireland","Years in education","Value","Total","Years","Units",,18,
"Italy","Years in education","Value","Total","Years","Units",,17,
"Japan","Years in education","Value","Total","Years","Units",,16,
"Korea","Years in education","Value","Total","Years","Units",,17,
"Luxembourg","Years in education","Value","Total","Years","Units",,15,
"Mexico","Years in education","Value","Total","Years","Units",,15,
"Netherlands","Years in education","Value","Total","Years","Units",,19,
"New Zealand","Years in education","Value","Total","Years","Units",,18,
"Norway","Years in education","Value","Total","Years","Units",,18,
"Poland","Years in education","Value","Total","Years","Units",,18,
"Portugal","Years in education","Value","Total","Years","Units",,17,
"Slovak Republic","Years in education","Value","Total","Years","Units",,16,
"Spain","Years in education","Value","Total","Years","Units",,18,
"Sweden","Years in education","Value","Total","Years","Units",,20,
"Switzerland","Years in education","Value","Total","Years","Units",,17,
"Türkiye","Years in education","Value","Total","Years","Units",,19,
"United Kingdom","Years in education","Value","Total","Years","Units",,17,
"United States","Years in education","Value","Total","Years","Units",,17,
"Brazil","Years in education","Value","Total","Years","Units",,16,
"Chile","Years in education","Value","Total","Years","Units",,17,
"Estonia","Years in education","Value","Total","Years","Units",,18,
"Israel","Years in education","Value","Total","Years","Units",,16,
"Latvia","Years in education","Value","Total","Years","Units",,18,
"Russia","Years in education","Value","Total","Years","Units",,16,
"Slovenia","Years in education","Value","Total","Years","Units",,18,
"OECD - Total","Years in education","Value","Total","Years","Units",,18,
"Australia","Years in education","Value","Men","Years","Units",,20,
"Austria","Years in education","Value","Men","Years","Units",,17,
"Belgium","Years in education","Value","Men","Years","Units",,19,
"Canada","Years in education","Value","Men","Years","Units",,17,
"Czech Republic","Years in education","Value","Men","Years","Units",,17,
"Denmark","Years in education","Value","Men","Years","Units",,19,
"Finland","Years in education","Value","Men","Years","Units",,19,
"France","Years in education","Value","Men","Years","Units",,16,
"Germany","Years in education","Value","Men","Years","Units",,18,
"Greece","Years in education","Value","Men","Years","Units",,19,
"Hungary","Years in education","Value","Men","Years","Units",,16,
"Iceland","Years in education","Value","Men","Years","Units",,18,
"Ireland","Years in education","Value","Men","Years","Units",,18,
"Italy","Years in education","Value","Men","Years","Units",,16,
"Japan","Years in education","Value","Men","Years","Units",,16,
"Korea","Years in education","Value","Men","Years","Units",,18,
"Luxembourg","Years in education","Value","Men","Years","Units",,15,
"Mexico","Years in education","Value","Men","Years","Units",,15,
"Netherlands","Years in education","Value","Men","Years","Units",,19,
"New Zealand","Years in education","Value","Men","Years","Units",,17,
"Norway","Years in education","Value","Men","Years","Units",,18,
"Poland","Years in education","Value","Men","Years","Units",,17,
"Portugal","Years in education","Value","Men","Years","Units",,17,
"Slovak Republic","Years in education","Value","Men","Years","Units",,15,
"Spain","Years in education","Value","Men","Years","Units",,18,
"Sweden","Years in education","Value","Men","Years","Units",,19,
"Switzerland","Years in education","Value","Men","Years","Units",,18,
"Türkiye","Years in education","Value","Men","Years","Units",,19,
"United Kingdom","Years in education","Value","Men","Years","Units",,16,
"United States","Years in education","Value","Men","Years","Units",,17,
"Brazil","Years in education","Value","Men","Years","Units",,16,
"Chile","Years in education","Value","Men","Years","Units",,17,
"Estonia","Years in education","Value","Men","Years","Units",,17,
"Israel","Years in education","Value","Men","Years","Units",,15,
"Latvia","Years in education","Value","Men","Years","Units",,18,
"Russia","Years in education","Value","Men","Years","Units",,16,
"Slovenia","Years in education","Value","Men","Years","Units",,18,
"OECD - Total","Years in education","Value","Men","Years","Units",,17,
"Australia","Years in education","Value","Women","Years","Units",,21,
"Austria","Years in education","Value","Women","Years","Units",,17,
"Belgium","Years in education","Value","Women","Years","Units",,20,
"Canada","Years in education","Value","Women","Years","Units",,17,
"Czech Republic","Years in education","Value","Women","Years","Units",,18,
"Denmark","Years in education","Value","Women","Years","Units",,20,
"Finland","Years in education","Value","Women","Years","Units",,20,
"France","Years in education","Value","Women","Years","Units",,17,
"Germany","Years in education","Value","Women","Years","Units",,18,
"Greece","Years in education","Value","Women","Years","Units",,19,
"Hungary","Years in education","Value","Women","Years","Units",,17,
"Iceland","Years in education","Value","Women","Years","Units",,20,
"Ireland","Years in education","Value","Women","Years","Units",,18,
"Italy","Years in education","Value","Women","Years","Units",,17,
"Japan","Years in education","Value","Women","Years","Units",,16,
"Korea","Years in education","Value","Women","Years","Units",,17,
"Luxembourg","Years in education","Value","Women","Years","Units",,15,
"Mexico","Years in education","Value","Women","Years","Units",,16,
"Netherlands","Years in education","Value","Women","Years","Units",,19,
"New Zealand","Years in education","Value","Women","Years","Units",,18,
"Norway","Years in education","Value","Women","Years","Units",,19,
"Poland","Years in education","Value","Women","Years","Units",,18,
"Portugal","Years in education","Value","Women","Years","Units",,17,
"Slovak Republic","Years in education","Value","Women","Years","Units",,16,
"Spain","Years in education","Value","Women","Years","Units",,18,
"Sweden","Years in education","Value","Women","Years","Units",,20,
"Switzerland","Years in education","Value","Women","Years","Units",,17,
"Türkiye","Years in education","Value","Women","Years","Units",,18,
"United Kingdom","Years in education","Value","Women","Years","Units",,17,
"United States","Years in education","Value","Women","Years","Units",,18,
"Brazil","Years in education","Value","Women","Years","Units",,16,
"Chile","Years in education","Value","Women","Years","Units",,18,
"Estonia","Years in education","Value","Women","Years","Units",,18,
"Israel","Years in education","Value","Women","Years","Units",,16,
"Latvia","Years in education","Value","Women","Years","Units",,19,
"Russia","Years in education","Value","Women","Years","Units",,17,
"Slovenia","Years in education","Value","Women","Years","Units",,19,
"OECD - Total","Years in education","Value","Women","Years","Units",,18,
"Australia","Air pollution","Value","Total","Micrograms per cubic metre","Units",,6.7,
"Austria","Air pollution","Value","Total","Micrograms per cubic metre","Units",,12.2,
"Belgium","Air pollution","Value","Total","Micrograms per cubic metre","Units",,12.8,
"Canada","Air pollution","Value","Total","Micrograms per cubic metre","Units",,7.1,
"Czech Republic","Air pollution","Value","Total","Micrograms per cubic metre","Units",,17,
"Denmark","Air pollution","Value","Total","Micrograms per cubic metre","Units",,10,
"Finland","Air pollution","Value","Total","Micrograms per cubic metre","Units",,5.5,
"France","Air pollution","Value","Total","Micrograms per cubic metre","Units",,11.4,
"Germany","Air pollution","Value","Total","Micrograms per cubic metre","Units",,12,
"Greece","Air pollution","Value","Total","Micrograms per cubic metre","Units",,14.5,
"Hungary","Air pollution","Value","Total","Micrograms per cubic metre","Units",,16.7,
"Iceland","Air pollution","Value","Total","Micrograms per cubic metre","Units",,6.4,
"Ireland","Air pollution","Value","Total","Micrograms per cubic metre","Units",,7.8,
"Italy","Air pollution","Value","Total","Micrograms per cubic metre","Units",,15.9,
"Japan","Air pollution","Value","Total","Micrograms per cubic metre","Units",,13.7,
"Korea","Air pollution","Value","Total","Micrograms per cubic metre","Units",,27.3,
"Luxembourg","Air pollution","Value","Total","Micrograms per cubic metre","Units",,10,
"Mexico","Air pollution","Value","Total","Micrograms per cubic metre","Units",,20.3,
"Netherlands","Air pollution","Value","Total","Micrograms per cubic metre","Units",,12.2,
"New Zealand","Air pollution","Value","Total","Micrograms per cubic metre","Units",,6,
"Norway","Air pollution","Value","Total","Micrograms per cubic metre","Units",,6.7,
"Poland","Air pollution","Value","Total","Micrograms per cubic metre","Units",,22.8,
"Portugal","Air pollution","Value","Total","Micrograms per cubic metre","Units",,8.3,
"Slovak Republic","Air pollution","Value","Total","Micrograms per cubic metre","Units",,18.5,
"Spain","Air pollution","Value","Total","Micrograms per cubic metre","Units",,10,
"Sweden","Air pollution","Value","Total","Micrograms per cubic metre","Units",,5.8,
"Switzerland","Air pollution","Value","Total","Micrograms per cubic metre","Units",,10.1,
"Türkiye","Air pollution","Value","Total","Micrograms per cubic metre","Units",,27.1,
"United Kingdom","Air pollution","Value","Total","Micrograms per cubic metre","Units",,10.1,
"United States","Air pollution","Value","Total","Micrograms per cubic metre","Units",,7.7,
"Brazil","Air pollution","Value","Total","Micrograms per cubic metre","Units",,11.7,
"Chile","Air pollution","Value","Total","Micrograms per cubic metre","Units",,23.4,
"Estonia","Air pollution","Value","Total","Micrograms per cubic metre","Units",,5.9,
"Israel","Air pollution","Value","Total","Micrograms per cubic metre","Units",,19.7,
"Latvia","Air pollution","Value","Total","Micrograms per cubic metre","Units",,12.7,
"Russia","Air pollution","Value","Total","Micrograms per cubic metre","Units",,11.8,
"Slovenia","Air pollution","Value","Total","Micrograms per cubic metre","Units",,17,
"South Africa","Air pollution","Value","Total","Micrograms per cubic metre","Units",,28.5,
"OECD - Total","Air pollution","Value","Total","Micrograms per cubic metre","Units",,14,
"Australia","Water quality","Value","Total","Percentage","Units",,92,
"Austria","Water quality","Value","Total","Percentage","Units",,92,
"Belgium","Water quality","Value","Total","Percentage","Units",,79,
"Canada","Water quality","Value","Total","Percentage","Units",,90,
"Czech Republic","Water quality","Value","Total","Percentage","Units",,89,
"Denmark","Water quality","Value","Total","Percentage","Units",,93,
"Finland","Water quality","Value","Total","Percentage","Units",,97,
"France","Water quality","Value","Total","Percentage","Units",,78,
"Germany","Water quality","Value","Total","Percentage","Units",,91,
"Greece","Water quality","Value","Total","Percentage","Units",,67,
"Hungary","Water quality","Value","Total","Percentage","Units",,81,
"Iceland","Water quality","Value","Total","Percentage","Units",,97,
"Ireland","Water quality","Value","Total","Percentage","Units",,80,
"Italy","Water quality","Value","Total","Percentage","Units",,77,
"Japan","Water quality","Value","Total","Percentage","Units",,87,
"Korea","Water quality","Value","Total","Percentage","Units",,82,
"Luxembourg","Water quality","Value","Total","Percentage","Units",,85,
"Mexico","Water quality","Value","Total","Percentage","Units",,75,
"Netherlands","Water quality","Value","Total","Percentage","Units",,91,
"New Zealand","Water quality","Value","Total","Percentage","Units",,85,
"Norway","Water quality","Value","Total","Percentage","Units",,98,
"Poland","Water quality","Value","Total","Percentage","Units",,82,
"Portugal","Water quality","Value","Total","Percentage","Units",,89,
"Slovak Republic","Water quality","Value","Total","Percentage","Units",,81,
"Spain","Water quality","Value","Total","Percentage","Units",,76,
"Sweden","Water quality","Value","Total","Percentage","Units",,97,
"Switzerland","Water quality","Value","Total","Percentage","Units",,96,
"Türkiye","Water quality","Value","Total","Percentage","Units",,62,
"United Kingdom","Water quality","Value","Total","Percentage","Units",,82,
"United States","Water quality","Value","Total","Percentage","Units",,88,
"Brazil","Water quality","Value","Total","Percentage","Units",,70,
"Chile","Water quality","Value","Total","Percentage","Units",,62,
"Estonia","Water quality","Value","Total","Percentage","Units",,86,
"Israel","Water quality","Value","Total","Percentage","Units",,77,
"Latvia","Water quality","Value","Total","Percentage","Units",,83,
"Russia","Water quality","Value","Total","Percentage","Units",,62,
"Slovenia","Water quality","Value","Total","Percentage","Units",,93,
"South Africa","Water quality","Value","Total","Percentage","Units",,72,
"OECD - Total","Water quality","Value","Total","Percentage","Units",,84,
"Australia","Water quality","Value","Men","Percentage","Units",,93,
"Austria","Water quality","Value","Men","Percentage","Units",,91,
"Belgium","Water quality","Value","Men","Percentage","Units",,81,
"Canada","Water quality","Value","Men","Percentage","Units",,94,
"Czech Republic","Water quality","Value","Men","Percentage","Units",,93,
"Denmark","Water quality","Value","Men","Percentage","Units",,93,
"Finland","Water quality","Value","Men","Percentage","Units",,96,
"France","Water quality","Value","Men","Percentage","Units",,78,
"Germany","Water quality","Value","Men","Percentage","Units",,90,
"Greece","Water quality","Value","Men","Percentage","Units",,69,
"Hungary","Water quality","Value","Men","Percentage","Units",,83,
"Iceland","Water quality","Value","Men","Percentage","Units",,98,
"Ireland","Water quality","Value","Men","Percentage","Units",,79,
"Italy","Water quality","Value","Men","Percentage","Units",,73,
"Japan","Water quality","Value","Men","Percentage","Units",,89,
"Korea","Water quality","Value","Men","Percentage","Units",,80,
"Luxembourg","Water quality","Value","Men","Percentage","Units",,85,
"Mexico","Water quality","Value","Men","Percentage","Units",,78,
"Netherlands","Water quality","Value","Men","Percentage","Units",,95,
"New Zealand","Water quality","Value","Men","Percentage","Units",,85,
"Norway","Water quality","Value","Men","Percentage","Units",,98,
"Poland","Water quality","Value","Men","Percentage","Units",,83,
"Portugal","Water quality","Value","Men","Percentage","Units",,91,
"Slovak Republic","Water quality","Value","Men","Percentage","Units",,83,
"Spain","Water quality","Value","Men","Percentage","Units",,75,
"Sweden","Water quality","Value","Men","Percentage","Units",,98,
"Switzerland","Water quality","Value","Men","Percentage","Units",,96,
"Türkiye","Water quality","Value","Men","Percentage","Units",,64,
"United Kingdom","Water quality","Value","Men","Percentage","Units",,80,
"United States","Water quality","Value","Men","Percentage","Units",,90,
"Brazil","Water quality","Value","Men","Percentage","Units",,70,
"Chile","Water quality","Value","Men","Percentage","Units",,64,
"Estonia","Water quality","Value","Men","Percentage","Units",,86,
"Israel","Water quality","Value","Men","Percentage","Units",,74,
"Latvia","Water quality","Value","Men","Percentage","Units",,84,
"Russia","Water quality","Value","Men","Percentage","Units",,64,
"Slovenia","Water quality","Value","Men","Percentage","Units",,95,
"South Africa","Water quality","Value","Men","Percentage","Units",,71,
"OECD - Total","Water quality","Value","Men","Percentage","Units",,85,
"Australia","Water quality","Value","Women","Percentage","Units",,91,
"Austria","Water quality","Value","Women","Percentage","Units",,92,
"Belgium","Water quality","Value","Women","Percentage","Units",,77,
"Canada","Water quality","Value","Women","Percentage","Units",,87,
"Czech Republic","Water quality","Value","Women","Percentage","Units",,86,
"Denmark","Water quality","Value","Women","Percentage","Units",,92,
"Finland","Water quality","Value","Women","Percentage","Units",,97,
"France","Water quality","Value","Women","Percentage","Units",,79,
"Germany","Water quality","Value","Women","Percentage","Units",,92,
"Greece","Water quality","Value","Women","Percentage","Units",,66,
"Hungary","Water quality","Value","Women","Percentage","Units",,79,
"Iceland","Water quality","Value","Women","Percentage","Units",,96,
"Ireland","Water quality","Value","Women","Percentage","Units",,81,
"Italy","Water quality","Value","Women","Percentage","Units",,82,
"Japan","Water quality","Value","Women","Percentage","Units",,85,
"Korea","Water quality","Value","Women","Percentage","Units",,84,
"Luxembourg","Water quality","Value","Women","Percentage","Units",,85,
"Mexico","Water quality","Value","Women","Percentage","Units",,72,
"Netherlands","Water quality","Value","Women","Percentage","Units",,88,
"New Zealand","Water quality","Value","Women","Percentage","Units",,84,
"Norway","Water quality","Value","Women","Percentage","Units",,98,
"Poland","Water quality","Value","Women","Percentage","Units",,82,
"Portugal","Water quality","Value","Women","Percentage","Units",,88,
"Slovak Republic","Water quality","Value","Women","Percentage","Units",,80,
"Spain","Water quality","Value","Women","Percentage","Units",,77,
"Sweden","Water quality","Value","Women","Percentage","Units",,97,
"Switzerland","Water quality","Value","Women","Percentage","Units",,95,
"Türkiye","Water quality","Value","Women","Percentage","Units",,60,
"United Kingdom","Water quality","Value","Women","Percentage","Units",,84,
"United States","Water quality","Value","Women","Percentage","Units",,86,
"Brazil","Water quality","Value","Women","Percentage","Units",,71,
"Chile","Water quality","Value","Women","Percentage","Units",,60,
"Estonia","Water quality","Value","Women","Percentage","Units",,86,
"Israel","Water quality","Value","Women","Percentage","Units",,79,
"Latvia","Water quality","Value","Women","Percentage","Units",,83,
"Russia","Water quality","Value","Women","Percentage","Units",,59,
"Slovenia","Water quality","Value","Women","Percentage","Units",,90,
"South Africa","Water quality","Value","Women","Percentage","Units",,73,
"OECD - Total","Water quality","Value","Women","Percentage","Units",,84,
"Australia","Voter turnout","Value","Total","Percentage","Units",,92,
"Austria","Voter turnout","Value","Total","Percentage","Units",,76,
"Belgium","Voter turnout","Value","Total","Percentage","Units",,88,
"Canada","Voter turnout","Value","Total","Percentage","Units",,68,
"Czech Republic","Voter turnout","Value","Total","Percentage","Units",,62,
"Denmark","Voter turnout","Value","Total","Percentage","Units",,85,
"Finland","Voter turnout","Value","Total","Percentage","Units",,69,
"France","Voter turnout","Value","Total","Percentage","Units",,75,
"Germany","Voter turnout","Value","Total","Percentage","Units",,76,
"Greece","Voter turnout","Value","Total","Percentage","Units",,58,
"Hungary","Voter turnout","Value","Total","Percentage","Units",,70,
"Iceland","Voter turnout","Value","Total","Percentage","Units",,81,
"Ireland","Voter turnout","Value","Total","Percentage","Units",,63,
"Italy","Voter turnout","Value","Total","Percentage","Units",,73,
"Japan","Voter turnout","Value","Total","Percentage","Units",,53,
"Korea","Voter turnout","Value","Total","Percentage","Units",,77,
"Luxembourg","Voter turnout","Value","Total","Percentage","Units",,90,
"Mexico","Voter turnout","Value","Total","Percentage","Units",,63,
"Netherlands","Voter turnout","Value","Total","Percentage","Units",,79,
"New Zealand","Voter turnout","Value","Total","Percentage","Units",,82,
"Norway","Voter turnout","Value","Total","Percentage","Units",,78,
"Poland","Voter turnout","Value","Total","Percentage","Units",,68,
"Portugal","Voter turnout","Value","Total","Percentage","Units",,49,
"Slovak Republic","Voter turnout","Value","Total","Percentage","Units",,66,
"Spain","Voter turnout","Value","Total","Percentage","Units",,72,
"Sweden","Voter turnout","Value","Total","Percentage","Units",,87,
"Switzerland","Voter turnout","Value","Total","Percentage","Units",,45,
"Türkiye","Voter turnout","Value","Total","Percentage","Units",,86,
"United Kingdom","Voter turnout","Value","Total","Percentage","Units",,68,
"United States","Voter turnout","Value","Total","Percentage","Units",,65,
"Brazil","Voter turnout","Value","Total","Percentage","Units",,80,
"Chile","Voter turnout","Value","Total","Percentage","Units",,47,
"Estonia","Voter turnout","Value","Total","Percentage","Units",,64,
"Israel","Voter turnout","Value","Total","Percentage","Units",,67,
"Latvia","Voter turnout","Value","Total","Percentage","Units",,55,
"Russia","Voter turnout","Value","Total","Percentage","Units",,68,
"Slovenia","Voter turnout","Value","Total","Percentage","Units",,53,
"South Africa","Voter turnout","Value","Total","Percentage","Units",,66,
"OECD - Total","Voter turnout","Value","Total","Percentage","Units",,69,
"Australia","Life expectancy","Value","Total","Years","Units",,83,
"Austria","Life expectancy","Value","Total","Years","Units",,82,
"Belgium","Life expectancy","Value","Total","Years","Units",,82.1,
"Canada","Life expectancy","Value","Total","Years","Units",,82.1,
"Czech Republic","Life expectancy","Value","Total","Years","Units",,79.3,
"Denmark","Life expectancy","Value","Total","Years","Units",,81.5,
"Finland","Life expectancy","Value","Total","Years","Units",,82.1,
"France","Life expectancy","Value","Total","Years","Units",,82.9,
"Germany","Life expectancy","Value","Total","Years","Units",,81.4,
"Greece","Life expectancy","Value","Total","Years","Units",,81.7,
"Hungary","Life expectancy","Value","Total","Years","Units",,76.4,
"Iceland","Life expectancy","Value","Total","Years","Units",,83.2,
"Ireland","Life expectancy","Value","Total","Years","Units",,82.8,
"Italy","Life expectancy","Value","Total","Years","Units",,83.6,
"Japan","Life expectancy","Value","Total","Years","Units",,84.4,
"Korea","Life expectancy","Value","Total","Years","Units",,83.3,
"Luxembourg","Life expectancy","Value","Total","Years","Units",,82.7,
"Mexico","Life expectancy","Value","Total","Years","Units",,75.1,
"Netherlands","Life expectancy","Value","Total","Years","Units",,82.2,
"New Zealand","Life expectancy","Value","Total","Years","Units",,82.1,
"Norway","Life expectancy","Value","Total","Years","Units",,83,
"Poland","Life expectancy","Value","Total","Years","Units",,78,
